# Autism Researchers — 349 entries | source: https://profoundasd.com/autism-researchers/
# format: [location] name | organizations (;-separated) | focus areas | summary

[Anchorage] Kimberly R. Olson, PhD | Center for Human Development; University of Alaska Anchorage | psychology | Conducts research on neurodevelopmental disabilities focusing on Alaskan communities.
[Anchorage] Lisa J. Calfee, CCC-SLP | Northern Voices Speech Therapy; University of Alaska Anchorage | language | Provides specialized speech-language therapy for children with autism and communication disorders.
[Ann Arbor] Angela Fish, PhD | Mary A. Rackham Institute (MARI); Department of Psychiatry; University of Michigan Medical School | psychology | Supervises and directs postdoctoral psychology training in clinical child psychology.
[Ann Arbor] Haylie L. Miller, PhD | Motor & Visual Development Lab; University of Michigan |  | Assistant Professor
[Arizona State University Tempe Campus] B. Blair Braden, PhD | College of Health Solutions; Autism and Brain Aging Laboratory; Arizona State University | brain science | Leads one of the first research programs examining cognitive and brain aging in older autistic adults, including longitudinal studies of age-related changes and sex differences .
[Atlanta] Celine A. Saulnier, PhD | Neurodevelopmental Assessment & Consulting Services (NACS); Emory University School of Medicine | psychology & diagnosis | Co-author of the gold-standard Vineland Adaptive Behavior Scales, Third Edition (Vineland-3).
[Atlanta] Cheryl Klaiman, PhD | Marcus Autism Center; Children's Healthcare of Atlanta; Emory University School of Medicine | psychology & diagnosis | Directs all diagnostic evaluations for clinical and research purposes at the Marcus Autism Center.
[Atlanta] Sarah T. Schultz, PhD | Emory Autism Center; Department of Psychiatry and Behavioral Sciences; Emory University |  | Assistant Research Professor
[Atlanta] M. Daniele (Dani) Fallin, PhD | Rollins School of Public Health; Emory University | public health | Led multiple CDC- and NIH-funded projects investigating how environmental exposures (e.g., heavy metals, maternal infections) and genetic factors jointly contribute to autism risk
[Atlanta] Ami Klin, PhD | Marcus Autism Center; Emory University | brain science | Developed objective, eye-tracking-based biomarkers to quantify social visual engagement for the early detection of autism in infancy.
[Atlanta] Jaclyn Halpern, PsyD | Marcus Autism Center; Children's Healthcare of Atlanta; Emory University School of Medicine (Assistant Professor - Adjunct) |  | Clinical Psychologist
[Augusta] Teal W. Benevides, PhD, MS, OTR/L | Institute of Public & Preventive Health (IPPH); College of Allied Health Sciences; Augusta University |  | Associate Professor
[Aurora] Deanna Swain, PhD | Children's Hospital Colorado; University of Colorado Anschutz Medical Campus |  | Assistant Professor
[Austin] Lauren H. Hampton, PhD, BCBA-D | UT Austin College of Education; University of Texas at Austin |  | Associate Professor
[Austin] Sandy Magaña, PhD, MSW | Steve Hicks School of Social Work; Latino Research Institute; University of Texas at Austin |  | Professor
[Austin] Sandra Venegas, PhD | Texas Center for Disability Studies; University of Texas at Austin |  | Assistant Director for Research
[Baltimore] Amber Davis, PhD, MSW | Disability Health Research Center; Wendy Klag Center for Autism & Developmental Disabilities; Johns Hopkins Bloomberg School of Public Health; Johns Hopkins School of Nursing | public health & social work | Investigates the intersection of race, disability, and autism, particularly for Black autistic young adults.
[Baltimore] Christine Ladd-Acosta, PhD | Wendy Klag Center for Autism & Developmental Disabilities; Johns Hopkins Bloomberg School of Public Health | epidemiology & genetics | Conducts epidemiologic and genetic research on autism and developmental disabilities.
[Baltimore] Heather Volk, PhD, MPH | Wendy Klag Center for Autism and Developmental Disabilities; Johns Hopkins Bloomberg School of Public Health |  | Professor
[Baltimore] Roma Vasa, MD | Kennedy Krieger Institute; Center for Autism and Related Disorders (CARD); Johns Hopkins University School of Medicine |  | Director
[Baltimore] Rebecca Landa, PhD, CCC-SLP | Center for Autism and Related Disorders; Kennedy Krieger Institute; Johns Hopkins University School of Medicine | language | Developed early identification methods and language-based interventions for toddlers at risk for autism.
[Baltimore] James H. Swanson, MD | Kennedy Krieger Institute; Johns Hopkins University | medicine | Conducts clinical research on psychiatric comorbidities, such as ADHD and anxiety, in autism.
[Baltimore] Emily Jones, PhD | Kennedy Krieger Institute; Johns Hopkins University | psychology | Designs and evaluates behavioral interventions for young children with autism spectrum disorder.
[Baltimore] Kathleen K. Ramsey, PhD | Kennedy Krieger Institute; Center for Autism and Related Disorders (CARD); Johns Hopkins University School of Medicine |  | Pediatric Neuropsychologist
[Belmont] Nicholas T. Lange, ScD | McLean Hospital; Harvard T.H. Chan School of Public Health; Harvard Medical School |  | Associate Professor of Psychiatry (Biostatistics)
[Blacksburg] Angela Scarpa, PhD | Virginia Tech Autism Clinic & Center for Autism Research (VTAC/CAR); Psychosocial Adjustment; NeuroDevelopment; and Autism (PANDA) Lab; Virginia Tech Center for Autism Research (VTCAR); Virginia Tech | psychology | Founded the Virginia Tech Center for Autism Research (VTCAR) to foster interdisciplinary research and community outreach.
[Bloomington] Hannah Schertz, PhD | School of Education; Indiana University Bloomington |  | Associate Professor
[Boston] Beth A. Jerskey, PhD | Boston Child Study Center (BCSC); Rhode Island Consortium for Autism Research and Treatment (RI-CART); Alpert Medical School of Brown University | neuropsychology | Research focuses on ethical considerations in psychology and the use of empirically supported assessments (like ADOS-2) for ASD diagnosis.
[Boston] Alice Carter | UMass Boston Infant-Parent Mental Health Program; University of Massachusetts Boston |  | Pioneered methods for early detection of autism and other developmental disorders in infants and toddlers, helping to define early behavioral markers and diagnostic practices .
[Boston] Charles A. Nelson III, PhD | Nelson Lab; Laboratories of Cognitive Neuroscience; Intellectual and Developmental Disabilities Research Center (IDDRC); Boston Children's Hospital; Harvard Medical School; Harvard Graduate School of Education | neuroscience & pediatrics | Pioneering research in developmental cognitive neuroscience, focusing on brain and behavioral development in infants and children.
